transaction_id,customer_id,amount_inr,timestamp,location,device,fraud_reason,autoencoder_loss
6990,Cust029,351689.210772222,2025-01-01 00:04:53,Bangalore,mobile,"Supervised score: 0.5527, Anomaly: False",0.0267
5998,Cust022,929243.332760764,2025-01-01 00:06:31,Hyderabad,desktop,"Supervised score: 0.8227, Anomaly: False",0.1847
3892,Cust063,387566.9529614925,2025-01-01 00:06:38,Hyderabad,tablet,"Supervised score: 0.6098, Anomaly: False",0.0271
2565,Cust029,174181.51696254243,2025-01-01 00:07:21,Delhi,mobile,"Supervised score: 0.5108, Anomaly: False",0.0058
8899,Cust025,1785728.2330796977,2025-01-01 00:07:38,Ahmedabad,mobile,"Supervised score: 0.9539, Anomaly: True",0.6914
415,Cust049,805661.5057481078,2025-01-01 00:12:45,Pune,mobile,"Supervised score: 0.6969, Anomaly: False",0.1275
7567,Cust010,7444932.595442593,2025-01-01 00:13:58,Hyderabad,mobile,"Supervised score: 1.0000, Anomaly: True",14.0561
3163,Cust041,709831.7498604731,2025-01-01 00:14:27,Delhi,desktop,"Supervised score: 0.7656, Anomaly: False",0.1042
8241,Cust075,8926048.171058971,2025-01-01 00:16:04,Mumbai,mobile,"Supervised score: 1.0000, Anomaly: True",21.1222
4734,Cust001,7599443.592868506,2025-01-01 00:17:41,Bangalore,mobile,"Supervised score: 1.0000, Anomaly: True",14.5716
6964,Cust001,9255815.267805433,2025-01-01 00:18:40,Chennai,tablet,"Supervised score: 1.0000, Anomaly: True",21.9558
7103,Cust080,328067.0373284818,2025-01-01 00:22:36,Ahmedabad,mobile,"Supervised score: 0.5151, Anomaly: False",0.0279
4490,Cust059,689192.7239083718,2025-01-01 00:24:12,Kolkata,mobile,"Supervised score: 0.7348, Anomaly: False",0.0916
1621,Cust032,399371.3781135739,2025-01-01 00:24:25,Delhi,tablet,"Supervised score: 0.6332, Anomaly: False",0.0284
9657,Cust010,5100186.609280123,2025-01-01 00:25:21,Chennai,tablet,"Supervised score: 0.9998, Anomaly: True",6.3896
6228,Cust010,5498888.585451025,2025-01-01 00:27:17,Mumbai,mobile,"Supervised score: 0.9998, Anomaly: True",7.8254
8027,Cust082,945961.362126704,2025-01-01 00:28:01,Delhi,mobile,"Supervised score: 0.8305, Anomaly: False",0.1747
3274,Cust023,806500.3589777922,2025-01-01 00:31:29,Kolkata,tablet,"Supervised score: 0.7877, Anomaly: False",0.1263
1757,Cust059,828953.1442739922,2025-01-01 00:36:48,Pune,mobile,"Supervised score: 0.7162, Anomaly: False",0.1352
1159,Cust075,2879843.988777282,2025-01-01 00:37:54,Chennai,mobile,"Supervised score: 0.9894, Anomaly: True",1.9092
5274,Cust010,4364549.779773466,2025-01-01 00:38:40,Delhi,desktop,"Supervised score: 0.9995, Anomaly: True",4.8257
4587,Cust031,928342.48367914,2025-01-01 00:39:38,Mumbai,desktop,"Supervised score: 0.6680, Anomaly: False",0.2563
9100,Cust001,901885.1285395132,2025-01-01 00:41:54,Mumbai,mobile,"Supervised score: 0.5913, Anomaly: False",0.1703
4681,Cust094,940497.669900528,2025-01-01 00:42:30,Kolkata,desktop,"Supervised score: 0.8351, Anomaly: False",0.1841
2503,Cust035,777580.1139888641,2025-01-01 00:44:11,Delhi,mobile,"Supervised score: 0.7780, Anomaly: False",0.1160
9189,Cust001,944867.0327539544,2025-01-01 00:45:37,Hyderabad,tablet,"Supervised score: 0.8243, Anomaly: False",0.1769
7715,Cust001,8864903.62213285,2025-01-01 00:45:48,Pune,mobile,"Supervised score: 1.0000, Anomaly: True",20.4930
284,Cust041,649242.0075116477,2025-01-01 00:45:55,Chennai,desktop,"Supervised score: 0.7086, Anomaly: False",0.0936
543,Cust091,995984.3181246496,2025-01-01 00:47:24,Chennai,desktop,"Supervised score: 0.8299, Anomaly: False",0.2169
3716,Cust098,262501.2613931494,2025-01-01 00:47:40,Kolkata,tablet,"Supervised score: 0.5431, Anomaly: False",0.0121
7771,Cust025,585945.9182218334,2025-01-01 00:48:39,Ahmedabad,mobile,"Supervised score: 0.6457, Anomaly: False",0.0733
