transaction_id,customer_id,amount_inr,timestamp,location,device,is_fraud
8352,Cust080,36325.44607768539,2025-01-01 00:01:08,Mumbai,mobile,0
3895,Cust052,41121.05597424232,2025-01-01 00:01:13,Pune,mobile,0
8078,Cust022,4132.508824274424,2025-01-01 00:01:17,Mumbai,tablet,0
6715,Cust016,2648.1363607245667,2025-01-01 00:01:18,Chennai,tablet,0
9951,Cust078,29384.712668862707,2025-01-01 00:01:31,Hyderabad,tablet,0
1387,Cust015,32787.068294216624,2025-01-01 00:01:41,Mumbai,mobile,0
6700,Cust049,19667.283925420634,2025-01-01 00:01:53,Delhi,mobile,0
4318,Cust046,34841.01705727923,2025-01-01 00:02:01,Hyderabad,mobile,0
160,Cust095,35002.14418974602,2025-01-01 00:02:04,Pune,desktop,0
1747,Cust087,47179.52512746394,2025-01-01 00:02:57,Mumbai,mobile,0
3623,Cust045,33775.590415129955,2025-01-01 00:03:06,Delhi,tablet,0
9691,Cust026,19836.712412814784,2025-01-01 00:03:09,Kolkata,desktop,0
3628,Cust075,33132.60458401816,2025-01-01 00:03:16,Bangalore,mobile,0
2167,Cust064,13794.690414481845,2025-01-01 00:03:34,Delhi,mobile,0
948,Cust062,8837.807281029805,2025-01-01 00:03:38,Hyderabad,tablet,0
6570,Cust025,3591.243105505698,2025-01-01 00:03:43,Mumbai,desktop,0
8478,Cust067,21282.019726576294,2025-01-01 00:03:56,Hyderabad,desktop,0
6581,Cust011,803.3680420271992,2025-01-01 00:03:56,Kolkata,mobile,0
2834,Cust006,17069.398665674315,2025-01-01 00:03:59,Hyderabad,tablet,0
5753,Cust071,8121.730382701354,2025-01-01 00:04:01,Ahmedabad,mobile,0
1553,Cust087,2410.2823159376253,2025-01-01 00:04:01,Pune,desktop,0
3188,Cust085,13514.75025779128,2025-01-01 00:04:03,Ahmedabad,desktop,0
132,Cust047,23267.126589051157,2025-01-01 00:04:03,Chennai,tablet,0
4465,Cust057,31297.262746593584,2025-01-01 00:04:19,Pune,mobile,0
7220,Cust080,25113.651269383383,2025-01-01 00:04:21,Bangalore,desktop,0
6150,Cust040,34306.738725090014,2025-01-01 00:04:24,Kolkata,tablet,0
4282,Cust004,40035.024861052945,2025-01-01 00:04:37,Pune,tablet,0
3630,Cust071,44735.6081299788,2025-01-01 00:04:43,Ahmedabad,tablet,0
2878,Cust010,42392.74163265325,2025-01-01 00:04:45,Bangalore,tablet,0
6990,Cust029,351689.21077222197,2025-01-01 00:04:53,Bangalore,mobile,1
1662,Cust047,22731.608989547414,2025-01-01 00:05:04,Delhi,mobile,0
8173,Cust034,11373.896560738018,2025-01-01 00:05:09,Kolkata,desktop,0
4200,Cust023,32612.973393214383,2025-01-01 00:05:14,Delhi,tablet,0
6790,Cust041,49801.55702183221,2025-01-01 00:05:19,Mumbai,desktop,0
6270,Cust069,15070.234242511217,2025-01-01 00:05:47,Pune,desktop,0
2148,Cust077,20578.159817644395,2025-01-01 00:05:55,Bangalore,tablet,0
65,Cust007,41282.87089042088,2025-01-01 00:05:56,Hyderabad,mobile,0
612,Cust061,18142.034424558402,2025-01-01 00:06:01,Chennai,desktop,0
3437,Cust034,35657.04542539933,2025-01-01 00:06:09,Delhi,desktop,0
1565,Cust088,32033.853898429563,2025-01-01 00:06:13,Bangalore,mobile,0
5998,Cust022,929243.3327607639,2025-01-01 00:06:31,Hyderabad,desktop,1
2037,Cust005,21102.743036099564,2025-01-01 00:06:33,Hyderabad,tablet,0
3892,Cust063,387566.9529614925,2025-01-01 00:06:38,Hyderabad,tablet,1
5419,Cust014,14878.83947764271,2025-01-01 00:06:42,Kolkata,desktop,0
3060,Cust003,46326.53319998113,2025-01-01 00:06:47,Ahmedabad,tablet,0
9448,Cust081,11916.414960239961,2025-01-01 00:06:55,Hyderabad,desktop,0
8856,Cust000,28904.29142485254,2025-01-01 00:07:04,Mumbai,tablet,0
5697,Cust007,39963.35896362861,2025-01-01 00:07:10,Hyderabad,tablet,0
6853,Cust070,9727.485434733177,2025-01-01 00:07:11,Ahmedabad,tablet,0
6070,Cust070,11024.847886155996,2025-01-01 00:07:17,Ahmedabad,mobile,0
2565,Cust029,174181.51696254243,2025-01-01 00:07:21,Delhi,mobile,1
2891,Cust029,40170.132139977046,2025-01-01 00:07:22,Pune,desktop,0
92,Cust077,11478.084850710547,2025-01-01 00:07:30,Ahmedabad,desktop,0
7104,Cust015,25000.130618397085,2025-01-01 00:07:36,Bangalore,mobile,0
8899,Cust025,1785728.2330796977,2025-01-01 00:07:38,Ahmedabad,mobile,1
1824,Cust026,10548.181179964262,2025-01-01 00:07:48,Pune,mobile,0
537,Cust068,2824.738909179531,2025-01-01 00:07:54,Ahmedabad,desktop,0
4593,Cust095,28422.203623586942,2025-01-01 00:08:03,Kolkata,mobile,0
5596,Cust090,12495.32566696008,2025-01-01 00:08:27,Delhi,desktop,0
2413,Cust041,17442.14684309244,2025-01-01 00:08:54,Kolkata,mobile,0
9035,Cust024,8302.98377373254,2025-01-01 00:09:29,Bangalore,desktop,0
4540,Cust059,3377.622655828015,2025-01-01 00:09:39,Hyderabad,mobile,0
932,Cust004,32884.67110729324,2025-01-01 00:10:03,Hyderabad,desktop,0
7393,Cust058,40521.407026390334,2025-01-01 00:10:05,Chennai,desktop,0
4463,Cust064,18746.72229866529,2025-01-01 00:10:25,Pune,tablet,0
5138,Cust021,22805.859542854367,2025-01-01 00:10:26,Pune,tablet,0
